,0,1,2,3,4,5,6
0,-3.938398838043213,-4.3041534423828125,-4.088461875915527,-2.975428819656372,-3.3967056274414062,-4.2329912185668945,-3.7212986946105957
1,-4.528650760650635,-3.076554775238037,-3.55476713180542,-3.0023717880249023,-2.6177592277526855,-2.8668370246887207,-3.005570888519287
2,-3.7723867893218994,-3.4315366744995117,-4.108307361602783,-3.1073861122131348,-3.4315366744995117,-3.6404154300689697,-3.1073861122131348
3,-2.99436092376709,-2.068639039993286,-2.0826542377471924,-2.5412144660949707,-2.1256442070007324,-2.8928730487823486,-2.1287500858306885
4,-3.018491268157959,-2.6355745792388916,-3.228219509124756,-2.9351205825805664,-2.2299764156341553,-3.2983219623565674,-2.603178024291992
5,-3.8018407821655273,-2.7369236946105957,-2.6236073970794678,-2.458096742630005,-2.5411581993103027,-2.4516172409057617,-2.570230484008789
6,-4.632469177246094,-3.3602938652038574,-2.6985278129577637,-2.813330888748169,-3.2999420166015625,-4.072362422943115,-2.1943578720092773
7,-4.505437850952148,-2.966294765472412,-2.829503059387207,-2.445589780807495,-3.5219552516937256,-2.665729284286499,-2.474721670150757
8,-2.5301778316497803,-2.516005039215088,-2.4558048248291016,-2.3221373558044434,-2.4034202098846436,-2.2167136669158936,-2.1375441551208496
9,-2.390167713165283,-2.2490530014038086,-3.315214157104492,-2.249739646911621,-2.641979932785034,-2.6204521656036377,-2.451878547668457
10,-3.5578081607818604,-2.569058656692505,-3.092676877975464,-2.312424421310425,-2.8218164443969727,-2.4650652408599854,-2.6164052486419678
11,-2.2005839347839355,-2.2005839347839355,-2.9786698818206787,-1.9419865608215332,-2.0829811096191406,-2.3261351585388184,-2.100346088409424
12,-3.6657822132110596,-2.858827829360962,-3.433534622192383,-3.0693976879119873,-2.372901678085327,-3.0365936756134033,-4.988518238067627
13,-3.286623477935791,-1.8311254978179932,-3.651715040206909,-1.6999839544296265,-2.8502373695373535,-4.010519504547119,-2.2743184566497803
14,-2.9143528938293457,-2.1307294368743896,-2.680875539779663,-2.5236587524414062,-2.2077622413635254,-2.7172749042510986,-2.099919557571411
15,-2.943516492843628,-2.613492012023926,-3.8023359775543213,-2.4336471557617188,-2.0627031326293945,-2.768113136291504,-2.82669734954834
16,-3.763167381286621,-2.9488332271575928,-4.080439567565918,-1.8475713729858398,-3.2915844917297363,-2.7519965171813965,-2.0977587699890137
17,-2.99578595161438,-1.760764479637146,-2.5680131912231445,-2.4212698936462402,-2.8758697509765625,-3.1989636421203613,-2.5282275676727295
18,-4.170469760894775,-2.1976964473724365,-2.7021090984344482,-2.2713911533355713,-2.5143721103668213,-3.273710012435913,-2.8735921382904053
19,-3.940772533416748,-2.212303876876831,-2.6220171451568604,-1.9041333198547363,-1.9894095659255981,-3.0809943675994873,-2.3853931427001953
20,-2.7941763401031494,-2.6034839153289795,-2.6618239879608154,-2.6034839153289795,-2.3879196643829346,-2.3602943420410156,-3.095066785812378
21,-2.1943652629852295,-3.139814853668213,-3.0547146797180176,-2.579122543334961,-3.1876163482666016,-3.07064151763916,-3.514636754989624
22,-3.3316709995269775,-2.537254810333252,-2.31559419631958,-2.1647796630859375,-2.843822479248047,-2.989008665084839,-2.2075154781341553
23,-2.5749125480651855,-1.965453863143921,-3.541285991668701,-1.68795907497406,-5.2021870613098145,-2.7152187824249268,-5.187183856964111
24,-4.868934631347656,-2.983360767364502,-4.569079875946045,-3.9521353244781494,-1.9226239919662476,-3.6362180709838867,-4.047191619873047
25,-3.258977174758911,-2.966343879699707,-3.33760666847229,-2.3541479110717773,-2.756143808364868,-3.014439344406128,-3.0543618202209473
26,-3.9226958751678467,-3.982064723968506,-2.5424387454986572,-2.3160226345062256,-2.8710110187530518,-2.858625888824463,-3.0572280883789062
27,-5.263085842132568,-2.0448999404907227,-2.338665246963501,-3.586366653442383,-2.6277413368225098,-4.36528205871582,-3.101102113723755
28,-4.772950649261475,-2.9997639656066895,-3.495096206665039,-3.0827324390411377,-3.469209909439087,-3.0782246589660645,-2.9916582107543945
29,-3.8802006244659424,-3.1560373306274414,-3.6213409900665283,-3.883575201034546,-2.848973274230957,-3.6991426944732666,-3.2096080780029297
30,-2.8127055168151855,-2.5718724727630615,-2.7399728298187256,-2.115636110305786,-2.8975913524627686,-3.627993106842041,-2.4368860721588135
31,-4.024448871612549,-2.6373043060302734,-2.642427682876587,-2.512357473373413,-2.0679054260253906,-3.0669662952423096,-2.584688663482666
32,-3.1385185718536377,-2.8679001331329346,-2.185790777206421,-2.3091464042663574,-1.732500672340393,-2.023716926574707,-2.6077935695648193
33,-4.398731708526611,-2.6210684776306152,-2.3900327682495117,-2.9174375534057617,-3.1546621322631836,-3.0760269165039062,-2.6506118774414062
34,-4.100573539733887,-3.3735122680664062,-3.0982751846313477,-2.314593553543091,-3.0856058597564697,-5.656626224517822,-3.4196646213531494
35,-2.5392301082611084,-1.9842499494552612,-2.125281810760498,-1.985693097114563,-1.8210899829864502,-2.0126945972442627,-1.5831059217453003
36,-2.6186060905456543,-2.3562092781066895,-2.5528523921966553,-2.4010190963745117,-2.765584707260132,-3.8192503452301025,-2.9075584411621094
37,-3.4124362468719482,-3.0211849212646484,-2.8609354496002197,-3.7910449504852295,-2.495255947113037,-4.018078804016113,-1.882479190826416
38,-4.029165744781494,-2.27060866355896,-2.731219530105591,-2.2930679321289062,-3.516374111175537,-5.223842144012451,-2.6050124168395996
39,-4.888629913330078,-2.4570677280426025,-3.296114683151245,-2.9524285793304443,-3.7653884887695312,-2.7888762950897217,-2.9524285793304443
40,-3.470993995666504,-2.7677221298217773,-3.0899853706359863,-2.908966064453125,-3.0169923305511475,-2.9963483810424805,-2.908966064453125
41,-2.0335755348205566,-3.090723991394043,-3.170074462890625,-2.651104688644409,-2.5122532844543457,-4.197492599487305,-2.155810594558716
42,-2.883147716522217,-3.0273373126983643,-3.1699936389923096,-2.340756416320801,-2.461641550064087,-3.4679484367370605,-3.008807897567749
43,-4.969762325286865,-2.525841236114502,-2.2159128189086914,-2.212505340576172,-2.002769708633423,-2.886317014694214,-3.3786044120788574
44,-2.881481885910034,-2.3876612186431885,-2.095181465148926,-2.4056479930877686,-2.313236951828003,-2.7549946308135986,-2.471971273422241
45,-6.060347557067871,-3.2109124660491943,-2.7862889766693115,-2.592510223388672,-3.5520734786987305,-2.6066946983337402,-2.9725396633148193
46,-3.0701820850372314,-3.065019130706787,-2.912193536758423,-3.46464204788208,-3.1695406436920166,-4.941640377044678,-4.260317325592041
47,-3.698636293411255,-2.70646071434021,-3.8340985774993896,-2.7114481925964355,-2.7159740924835205,-2.692624807357788,-2.8148000240325928
48,-2.6525278091430664,-2.4220058917999268,-3.027815580368042,-3.3110718727111816,-3.2399942874908447,-4.041497707366943,-2.665433645248413
49,-5.4947404861450195,-2.3787331581115723,-2.4687814712524414,-2.547245740890503,-2.1165571212768555,-4.765205383300781,-1.8474359512329102
50,-2.5032591819763184,-3.0566911697387695,-2.9268147945404053,-3.0566911697387695,-3.0566911697387695,-4.178973197937012,-2.7206318378448486
51,-3.0673937797546387,-2.424309015274048,-3.6139698028564453,-2.2517874240875244,-3.3064091205596924,-2.94868803024292,-2.386775016784668
52,-4.164679050445557,-3.204591989517212,-2.783447027206421,-2.9412262439727783,-2.9282948970794678,-3.0513460636138916,-2.2817366123199463
53,-3.54731822013855,-2.408440589904785,-3.090822458267212,-3.170792579650879,-2.9240753650665283,-3.1755809783935547,-2.286276340484619
54,-2.864527940750122,-2.551583766937256,-2.814319133758545,-2.483384847640991,-2.8627634048461914,-2.659849166870117,-2.247122287750244
55,-4.026029109954834,-2.714664936065674,-3.748082399368286,-2.493476152420044,-3.1950924396514893,-3.0778818130493164,-2.9491536617279053
56,-2.585899591445923,-2.840780019760132,-2.910033702850342,-2.8888936042785645,-2.664123773574829,-2.713092565536499,-3.4176011085510254
57,-2.667375087738037,-2.6358370780944824,-2.3802490234375,-2.9927115440368652,-4.053529739379883,-3.1649110317230225,-2.8611788749694824
58,-3.2631778717041016,-1.569094181060791,-1.9682306051254272,-2.4599361419677734,-1.709917664527893,-2.0500199794769287,-1.8116469383239746
59,-2.4078609943389893,-2.4387357234954834,-2.995636463165283,-2.489659070968628,-2.5282740592956543,-3.2247400283813477,-1.98830246925354
60,-3.145465850830078,-2.3023509979248047,-2.5012948513031006,-2.3023509979248047,-3.026332139968872,-3.1169567108154297,-3.38264536857605
61,-4.042568683624268,-2.023373603820801,-2.9132533073425293,-2.4651622772216797,-2.5026519298553467,-2.2577528953552246,-2.0288467407226562
62,-2.360398054122925,-3.0179853439331055,-2.854295015335083,-2.191627025604248,-2.1421191692352295,-2.356405019760132,-2.599217653274536
63,-4.073421001434326,-3.3942599296569824,-2.4252583980560303,-2.0462546348571777,-2.0462546348571777,-3.0102930068969727,-2.154158115386963
64,-3.348433256149292,-2.2418277263641357,-3.110384225845337,-2.6191372871398926,-2.145189046859741,-2.7165021896362305,-2.052438974380493
65,-5.541134357452393,-2.7685937881469727,-3.0872507095336914,-2.5469157695770264,-2.0999755859375,-3.671715497970581,-3.4090957641601562
66,-4.547766208648682,-3.8214142322540283,-3.3215601444244385,-2.9531619548797607,-2.900420665740967,-5.012526035308838,-4.506444454193115
67,-4.233942985534668,-2.9221577644348145,-3.511967897415161,-2.988516330718994,-2.9449169635772705,-3.9193692207336426,-3.3778092861175537
68,-3.4562156200408936,-1.4880355596542358,-2.6273353099823,-2.4944753646850586,-2.6681952476501465,-2.9033379554748535,-3.044182777404785
69,-5.0266642570495605,-2.271289587020874,-2.8751447200775146,-2.6295149326324463,-3.127342939376831,-2.7439403533935547,-2.438397169113159
70,-2.6833457946777344,-2.3377127647399902,-2.7242212295532227,-2.1849193572998047,-3.3547253608703613,-2.6176910400390625,-2.1849193572998047
71,-3.529676675796509,-3.3318140506744385,-3.357174873352051,-3.518648386001587,-2.3768279552459717,-4.11807107925415,-3.647179365158081
72,-3.1815288066864014,-3.241497755050659,-2.7434825897216797,-2.5482535362243652,-2.9372849464416504,-2.886965751647949,-3.116020441055298
73,-3.7285377979278564,-3.0415897369384766,-3.086306571960449,-3.2780771255493164,-1.9983705282211304,-3.7534351348876953,-2.2643771171569824
74,-5.40519905090332,-2.2824292182922363,-2.710296869277954,-2.541110038757324,-3.9797182083129883,-3.0622284412384033,-3.010789155960083
75,-2.6462278366088867,-2.107088327407837,-2.547354221343994,-2.12664794921875,-2.107088327407837,-3.4473347663879395,-2.218367576599121
76,-3.139671564102173,-2.9899911880493164,-3.071187973022461,-2.6352221965789795,-2.8988420963287354,-2.693985939025879,-2.678713083267212
77,-2.3952553272247314,-2.112654209136963,-2.4640610218048096,-2.532658338546753,-2.4925477504730225,-2.392789363861084,-1.9946684837341309
78,-2.6226396560668945,-1.9345347881317139,-2.5160489082336426,-1.9345347881317139,-2.7677056789398193,-2.980159044265747,-1.9881280660629272
79,-2.4657745361328125,-2.5553102493286133,-2.9454762935638428,-2.4062323570251465,-1.8331022262573242,-2.7788875102996826,-2.0448431968688965
80,-1.9419918060302734,-2.2901437282562256,-2.388801336288452,-2.1334006786346436,-1.6397699117660522,-2.6427905559539795,-2.608733892440796
81,-3.4035732746124268,-3.5094242095947266,-2.978938102722168,-3.116487741470337,-3.320910930633545,-3.362910747528076,-4.437842845916748
82,-5.570131778717041,-2.58198881149292,-2.809112071990967,-2.9301555156707764,-1.6924383640289307,-2.9990763664245605,-2.7800707817077637
83,-5.499855995178223,-3.4057252407073975,-3.5577070713043213,-2.8701367378234863,-2.698753595352173,-3.9694817066192627,-3.8948419094085693
84,-4.059055805206299,-1.8041912317276,-2.6122944355010986,-2.217725992202759,-2.901531219482422,-2.983543872833252,-3.1215946674346924
85,-3.029374837875366,-2.158520221710205,-3.4310696125030518,-2.7180862426757812,-2.5192627906799316,-3.564572811126709,-4.306736946105957
86,-2.697694778442383,-3.0370283126831055,-2.6106247901916504,-2.182668447494507,-2.1907284259796143,-2.877012014389038,-2.1810970306396484
87,-4.830447196960449,-2.954817771911621,-2.59443998336792,-2.1085591316223145,-2.263719320297241,-3.6003613471984863,-4.211385726928711
88,-2.449518918991089,-1.820263385772705,-2.7761809825897217,-2.127295732498169,-2.529240846633911,-2.7451579570770264,-2.7839837074279785
89,-3.902608871459961,-3.408766508102417,-3.03035831451416,-3.2876288890838623,-2.911999464035034,-4.1599626541137695,-2.9291021823883057
90,-4.243924140930176,-1.95356023311615,-3.3907439708709717,-2.2179179191589355,-2.446380615234375,-3.7886836528778076,-1.9267359972000122
91,-3.4984421730041504,-1.8363252878189087,-3.496058702468872,-2.7435877323150635,-2.2994329929351807,-2.8456664085388184,-3.376068592071533
92,-3.6107304096221924,-2.108079433441162,-2.5707931518554688,-2.396580219268799,-2.685663938522339,-2.9031147956848145,-4.582841396331787
93,-2.9064955711364746,-2.7405471801757812,-2.980797052383423,-2.3111984729766846,-2.7064740657806396,-2.866595983505249,-2.4582717418670654
94,-5.537659645080566,-5.076786994934082,-4.046067237854004,-3.501253366470337,-3.388427495956421,-4.177621364593506,-2.1698079109191895
95,-2.2274067401885986,-2.078265428543091,-2.2775344848632812,-2.5421411991119385,-2.9339003562927246,-2.185816526412964,-2.727147102355957
96,-4.1194868087768555,-4.029403209686279,-3.314919948577881,-3.6702418327331543,-3.884277582168579,-4.152740955352783,-2.4974169731140137
97,-2.459846258163452,-1.6315513849258423,-1.7140299081802368,-1.812447190284729,-1.2054624557495117,-1.7513163089752197,-2.216810464859009
98,-2.900294065475464,-2.055241584777832,-3.5861544609069824,-2.0568149089813232,-4.347686767578125,-3.3306846618652344,-2.0466933250427246
99,-2.877094268798828,-3.40421199798584,-3.4529125690460205,-2.7706449031829834,-3.1903462409973145,-3.061256170272827,-3.04944109916687
100,-3.8721039295196533,-2.4795010089874268,-2.315613269805908,-2.986664295196533,-3.0931050777435303,-3.228386640548706,-3.1285769939422607
101,-3.6268091201782227,-1.7891616821289062,-2.451289415359497,-3.2916653156280518,-3.5532336235046387,-2.845409870147705,-3.1700124740600586
102,-3.7434732913970947,-1.8911603689193726,-2.5708563327789307,-2.275974988937378,-2.4386672973632812,-2.0707736015319824,-2.1150195598602295
103,-3.4863879680633545,-2.942507028579712,-2.9058001041412354,-3.1041128635406494,-2.5622377395629883,-2.9651682376861572,-2.5622377395629883
104,-3.6774702072143555,-2.4258267879486084,-3.7984631061553955,-2.3704798221588135,-3.626967430114746,-3.257641315460205,-2.5088460445404053
105,-3.6586711406707764,-3.288167715072632,-2.9200990200042725,-3.182757616043091,-2.3313839435577393,-3.2275466918945312,-2.5770726203918457
106,-5.043217658996582,-4.06819486618042,-4.128150463104248,-2.8158133029937744,-2.8900914192199707,-3.5095643997192383,-4.587586879730225
107,-3.939819097518921,-2.6167807579040527,-2.870225191116333,-2.794732093811035,-3.027207851409912,-2.7058892250061035,-2.5200226306915283
108,-3.8794944286346436,-2.8273792266845703,-3.4348857402801514,-2.8273792266845703,-2.39841890335083,-2.966414451599121,-1.6142351627349854
109,-3.119323253631592,-2.4139809608459473,-3.956935167312622,-2.052673101425171,-2.618312358856201,-3.235365152359009,-3.2053370475769043
110,-2.575866222381592,-2.16879940032959,-2.7014570236206055,-2.4034528732299805,-2.5768768787384033,-2.2036516666412354,-2.7627744674682617
111,-3.0157642364501953,-2.0352814197540283,-2.696126937866211,-1.9324140548706055,-1.9999994039535522,-3.548013210296631,-2.1100711822509766
112,-2.563666582107544,-3.039231300354004,-2.734919786453247,-2.5478365421295166,-2.8896143436431885,-3.7160167694091797,-3.630962610244751
113,-4.8121490478515625,-2.40838885307312,-2.723788261413574,-2.3677611351013184,-2.242048740386963,-4.471808433532715,-2.418091058731079
114,-4.448465347290039,-2.3852651119232178,-3.2399802207946777,-3.7286250591278076,-3.576127052307129,-3.1907272338867188,-2.6556739807128906
115,-2.1345574855804443,-2.4783363342285156,-2.521211862564087,-2.4783363342285156,-3.117788791656494,-2.8048605918884277,-2.288269281387329
116,-3.434502363204956,-2.573523759841919,-3.1100850105285645,-2.7354652881622314,-2.7892115116119385,-3.235504150390625,-2.629703998565674
117,-2.665389060974121,-2.5611164569854736,-3.137141227722168,-2.9964733123779297,-3.0643117427825928,-3.231966257095337,-2.585364580154419
118,-4.2129740715026855,-2.881648063659668,-2.7782394886016846,-2.879115104675293,-2.8886590003967285,-3.444793701171875,-2.5942020416259766
119,-3.5653493404388428,-3.3304965496063232,-3.086730480194092,-2.7131097316741943,-3.64579439163208,-4.116234302520752,-3.761685371398926
120,-2.8421103954315186,-3.8291847705841064,-2.954521894454956,-3.2850260734558105,-2.574828624725342,-3.6621415615081787,-2.685145616531372
121,-2.4391393661499023,-2.308241128921509,-2.8042919635772705,-2.522430896759033,-1.77638578414917,-2.8181021213531494,-2.661200523376465
122,-3.1687135696411133,-3.332019567489624,-3.291093111038208,-3.2347638607025146,-3.3880650997161865,-4.519014358520508,-3.9473328590393066
123,-3.6540608406066895,-3.1434991359710693,-2.9419171810150146,-2.450535535812378,-3.2891311645507812,-3.1967368125915527,-2.7172648906707764
124,-3.1672935485839844,-1.8886662721633911,-2.20302414894104,-1.7511649131774902,-1.8970760107040405,-2.4231832027435303,-2.921353816986084
125,-3.2600061893463135,-3.2785634994506836,-2.8119587898254395,-2.457709312438965,-3.5112102031707764,-2.4391748905181885,-2.0330042839050293
126,-3.956967830657959,-3.043424606323242,-3.071927785873413,-1.6943057775497437,-3.1296005249023438,-5.925394535064697,-3.5434062480926514
127,-2.7459332942962646,-2.5483243465423584,-3.6339738368988037,-1.3293430805206299,-2.5582382678985596,-1.2558541297912598,-3.6903717517852783
128,-4.028906345367432,-2.6761131286621094,-3.0437512397766113,-3.09778094291687,-2.302321434020996,-3.3793225288391113,-2.6761131286621094
129,-2.6215341091156006,-3.3235905170440674,-3.2693865299224854,-2.046786308288574,-2.3956868648529053,-2.837761163711548,-3.1194567680358887
130,-4.1781325340271,-2.536440849304199,-2.136214256286621,-3.710599184036255,-3.4709575176239014,-4.392295837402344,-2.9738595485687256
131,-2.544987440109253,-4.161014556884766,-2.544327974319458,-2.858370065689087,-3.2851250171661377,-3.6864917278289795,-3.1630194187164307
132,-3.4633948802948,-3.6907801628112793,-3.7375760078430176,-4.02375602722168,-3.0560038089752197,-3.698625326156616,-3.7341697216033936
133,-3.3446743488311768,-3.6529417037963867,-4.210303783416748,-3.3951797485351562,-2.94869065284729,-3.665893077850342,-3.160277843475342
134,-3.967437744140625,-2.6109185218811035,-2.915135145187378,-2.4814252853393555,-2.3530638217926025,-3.628755807876587,-2.877401113510132
135,-2.982875347137451,-3.202512741088867,-2.9209611415863037,-2.7500996589660645,-3.27327561378479,-3.7288527488708496,-2.346998691558838
136,-5.288632869720459,-2.7836740016937256,-4.766811847686768,-3.200413227081299,-2.7836740016937256,-3.3080153465270996,-4.489102363586426
137,-2.2174689769744873,-2.8425984382629395,-3.119471311569214,-2.2174689769744873,-2.242363691329956,-3.9811887741088867,-2.2277274131774902
138,-5.344175815582275,-2.2176530361175537,-2.02231764793396,-2.5428922176361084,-2.145253896713257,-3.961264133453369,-2.9695725440979004
139,-4.133612632751465,-3.001244068145752,-2.9838805198669434,-2.304957151412964,-2.304957151412964,-2.4682323932647705,-2.917638063430786
